Item ID,Inventory Balance,Items to Expire,$ Value of Transfer
2220,3064.3482799999992,0.0,3006.052
2614,1.9123500000000004,0.0,0.0
2646,182.6064,0.0,2338.9399999999996
2736,2504.25,0.0,1575.0
2738,3127.2499999999995,1216.2500000000005,2975.0
16029,506.2926,0.0,467.75
16131,0.0,0.0,0.0
16394,0.0,0.0,0.0
16395,48.312000000000026,0.0,0.0
16536,0.0,0.0,0.0
16584,0.0,0.0,0.0
16692,47.9952,0.0,74.336
16866,0.0,0.0,0.0
16887,0.0,0.0,0.0
16964,0.0,0.0,86.72
17153,5266.352,0.0,5096.0
26594,0.0,0.0,0.0
27067,25.231,0.0,0.0
29630,0.0,0.0,0.0
30583,75.87749999999988,0.0,0.0
30696,167.15400000000005,0.0,128.58
30697,212.94779999999997,142.44,142.44
30709,75.8564,0.0,53.42
30710,0.0,0.0,0.0
30990,0.0,0.0,0.0
33406,0.0,0.0,0.0
33858,0.0,0.0,0.0
33899,0.0,0.0,0.0
34258,93.86720000000008,0.0,85.83999999999999
34753,0.0,0.0,995.41
34756,2608.9559999999997,0.0,9875.95
35914,0.0,0.0,0.0
36010,0.0,0.0,0.0
36083,26.966399999999997,0.0,0.0
38404,0.0,0.0,0.0
38460,0.0,0.0,0.0
39064,0.0,0.0,0.0
39210,13.79200000000001,0.0,0.0
39224,203.7864,0.0,202.74
40065,0.0,0.0,0.0
40883,10.128000000000002,0.0,0.0
40915,107.568,0.0,97.19999999999999
40931,0.0,0.0,0.0
40966,0.0,0.0,0.0
41000,460.56000000000023,0.0,444.4
41053,1611.62,0.0,1586.0
41589,0.0,0.0,0.0
41590,0.0,0.0,0.0
41603,9.653999999999966,0.0,0.0
42832,0.0,0.0,0.0
43276,0.0,0.0,0.0
44256,0.0,0.0,0.0
44471,84.82999999999996,0.0,74.85
48373,0.0,0.0,0.0
48592,2483.9999999999986,0.0,2475.0
48879,77.59859999999999,77.69,0.0
56659,1391.0400000000004,0.0,1344.0
57647,0.0,0.0,0.0
60388,73.58400000000007,0.0,0.0
60544,179.90770000000003,0.0,175.14000000000001
60623,0.0,6345.0,6345.0
60633,477.12,0.0,420.0
60648,683.8800000000001,0.0,574.0
61047,1226.4,0.0,1092.0
61055,0.0,0.0,0.0
61104,0.0,0.0,0.0
61133,40.099840000000015,0.0,0.0
61440,0.0,0.0,0.0
61528,0.0,0.0,0.0
61984,19825.079999999998,0.0,18216.0
61986,0.0,0.0,0.0
61996,0.0,9256.0,9256.0
62526,0.0,0.0,0.0
63066,0.0,0.0,0.0
63082,591.7508,0.0,564.34
63137,0.0,0.0,0.0
63151,0.0,0.0,0.0
